Gene name,molecular_function,biological_process,cellular_component,Gene stable ID,Description,Gene Type
PTGFRN,Protein binding,"Myoblast fusion involved in skeletal muscle regeneration
Lipid droplet organization","Membrane
Endoplasmic reticulum
Endoplasmic reticulum membrane
Golgi apparatus
Cell surface",ENSG00000134247,prostaglandin F2 receptor inhibitor,protein_coding
PTH1R,"G protein-coupled receptor activity
Transmembrane signaling receptor activity
Parathyroid hormone receptor activity
Protein binding
Protein homodimerization activity
G protein-coupled peptide receptor activity
Peptide hormone binding","G protein-coupled receptor signaling pathway
Cell surface receptor signaling pathway
Adenylate cyclase-modulating g protein-coupled receptor signaling pathway
Intracellular calcium ion homeostasis
Adenylate cyclase-activating g protein-coupled receptor signaling pathway
Skeletal system development
Phospholipase c-activating g protein-coupled receptor signaling pathway
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
Ossification
In utero embryonic development
Chondrocyte differentiation
Osteoblast development
Cell population proliferation
Positive regulation of cell population proliferation
Negative regulation of cell population proliferation
Bone mineralization
Bone resorption
Cell maturation
Positive regulation of inositol phosphate biosynthetic process","Membrane
Plasma membrane
Nucleus
Cytoplasm
Receptor complex
Apical plasma membrane
Basolateral plasma membrane",ENSG00000160801,parathyroid hormone 1 receptor,protein_coding
PTH2R,"G protein-coupled receptor activity
Transmembrane signaling receptor activity
Protein binding
G protein-coupled peptide receptor activity
Peptide hormone binding
Parathyroid hormone receptor activity","G protein-coupled receptor signaling pathway
Cell surface receptor signaling pathway
Adenylate cyclase-modulating g protein-coupled receptor signaling pathway
Positive regulation of cold-induced thermogenesis","Membrane
Plasma membrane",ENSG00000144407,parathyroid hormone 2 receptor,protein_coding
PTHLH,"Hormone activity
Protein binding
Peptide hormone receptor binding","Bone mineralization
Adenylate cyclase-activating g protein-coupled receptor signaling pathway
Cell-cell signaling
Negative regulation of cell population proliferation
Regulation of gene expression
Epidermis development
Positive regulation of cell population proliferation
Female pregnancy
Camp metabolic process
Skeletal system development
Negative regulation of chondrocyte differentiation
Negative regulation of chondrocyte development
Osteoblast development
Regulation of chondrocyte differentiation
Signal transduction","Extracellular region
Nucleus
Cytoplasm
Nucleoplasm
Cytosol
Golgi apparatus
Extracellular space",ENSG00000087494,parathyroid hormone like hormone,protein_coding
PTMAP5,,,,ENSG00000214182,prothymosin alpha pseudogene 5,transcribed_processed_pseudogene
PTPDC1,"Protein tyrosine phosphatase activity
Protein binding
Phosphoprotein phosphatase activity","Protein dephosphorylation
Dephosphorylation
Cilium assembly
Cell projection organization
Smoothened signaling pathway","Nucleoplasm
Cytoplasm",ENSG00000158079,protein tyrosine phosphatase domain containing 1,protein_coding
PTPN2,"Protein tyrosine phosphatase activity
Protein binding
Phosphoprotein phosphatase activity
Protein kinase binding
Syntaxin binding
Integrin binding
Receptor tyrosine kinase binding
Non-membrane spanning protein tyrosine phosphatase activity
Stat family protein binding","Protein dephosphorylation
Dephosphorylation
Negative regulation of cell population proliferation
Erythrocyte differentiation
Negative regulation of inflammatory response
Negative regulation of type i interferon-mediated signaling pathway
T cell differentiation
Insulin receptor signaling pathway
Negative regulation of erk1 and erk2 cascade
Negative regulation of tyrosine phosphorylation of stat protein
Negative regulation of insulin receptor signaling pathway
Glucose homeostasis
Negative regulation of t cell receptor signaling pathway
B cell differentiation
Peptidyl-tyrosine dephosphorylation
Negative regulation of type ii interferon-mediated signaling pathway
Negative regulation of macrophage differentiation
Negative regulation of tumor necrosis factor-mediated signaling pathway
Negative regulation of chemotaxis
Negative regulation of lipid storage
Negative regulation of epidermal growth factor receptor signaling pathway
Positive regulation of gluconeogenesis
Negative regulation of receptor signaling pathway via jak-stat
Regulation of type ii interferon-mediated signaling pathway
Regulation of hepatocyte growth factor receptor signaling pathway
Negative regulation of interleukin-2-mediated signaling pathway
Negative regulation of macrophage colony-stimulating factor signaling pathway
Negative regulation of positive thymic t cell selection
Negative regulation of platelet-derived growth factor receptor-beta signaling pathway
Negative regulation of interleukin-6-mediated signaling pathway
Negative regulation of interleukin-4-mediated signaling pathway
Negative regulation of transcription by rna polymerase ii
Insulin receptor recycling
Positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
Positive regulation of perk-mediated unfolded protein response","Nucleus
Cytoplasm
Plasma membrane
Endoplasmic reticulum
Nucleoplasm
Cytosol
Endoplasmic reticulum-golgi intermediate compartment
Endosome lumen
Membrane",ENSG00000175354,protein tyrosine phosphatase non-receptor type 2,protein_coding
PTPN22,"Protein tyrosine phosphatase activity
Non-membrane spanning protein tyrosine phosphatase activity
Hydrolase activity
Sh3 domain binding
Kinase binding
Protein tyrosine kinase binding
Protein binding
Phosphoprotein phosphatase activity
Phosphatase activity
Ubiquitin protein ligase binding","Protein dephosphorylation
Dephosphorylation
Regulation of t cell receptor signaling pathway
Positive regulation of defense response to virus by host
Regulation of leukocyte migration
Positive regulation of gene expression
Negative regulation of gene expression
T cell differentiation
Negative regulation of interleukin-6 production
Negative regulation of interleukin-8 production
Negative regulation of tumor necrosis factor production
Positive regulation of interferon-alpha production
Positive regulation of interferon-beta production
Positive regulation of toll-like receptor 3 signaling pathway
Positive regulation of toll-like receptor 4 signaling pathway
Positive regulation of toll-like receptor 7 signaling pathway
Positive regulation of toll-like receptor 9 signaling pathway
Phosphoanandamide dephosphorylation
Positive regulation of protein import into nucleus
T cell receptor signaling pathway
Negative regulation of t cell activation
Positive regulation of erk1 and erk2 cascade
Negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway
Cellular response to muramyl dipeptide
Positive regulation of granzyme b production
Positive regulation of nlrp3 inflammasome complex assembly
Regulation of non-canonical nf-kappab signal transduction
Positive regulation of protein k63-linked ubiquitination
Regulation of calcium ion transmembrane transport
Negative regulation of p38mapk cascade
Positive regulation of cd8-positive, alpha-beta t cell proliferation
Lipid metabolic process
Autophagy
Immune system process
Negative regulation of autophagy
Response to lipopolysaccharide
Positive regulation of type ii interferon production
Positive regulation of type i interferon production
Negative regulation of t cell receptor signaling pathway
Lipopolysaccharide-mediated signaling pathway
Negative regulation of jun kinase activity
Regulation of innate immune response
Regulation of natural killer cell proliferation
Regulation of b cell receptor signaling pathway","Cytoplasm
Intracellular organelle
Nucleus
Cytoplasmic side of plasma membrane
Cytosol
Perinuclear region of cytoplasm",ENSG00000134242,protein tyrosine phosphatase non-receptor type 22,protein_coding
PTPN23,"Protein binding
Protein tyrosine phosphatase activity
Phosphoprotein phosphatase activity
Protein kinase binding","Multivesicular body sorting pathway
Protein dephosphorylation
Dephosphorylation
Protein transport
Cell projection organization
Ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
Cilium assembly
Early endosome to late endosome transport
Endocytic recycling
Negative regulation of epithelial cell migration
Positive regulation of early endosome to late endosome transport
Protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
Positive regulation of wnt protein secretion
Positive regulation of homophilic cell adhesion
Positive regulation of adherens junction organization","Nucleus
Cytoplasm
Nucleoplasm
Cytoskeleton
Endosome
Nuclear body
Intracellular membrane-bounded organelle
Cilium
Early endosome
Ciliary basal body
Extracellular exosome",ENSG00000076201,protein tyrosine phosphatase non-receptor type 23,protein_coding
PTPN3,"Protein binding
Protein tyrosine phosphatase activity
Cytoskeletal protein binding
Phosphoprotein phosphatase activity
Sodium channel regulator activity
Atpase binding
Phosphotyrosine residue binding","Protein dephosphorylation
Dephosphorylation
Regulation of sodium ion transmembrane transporter activity
Negative regulation of epidermal growth factor receptor signaling pathway
Mapk cascade
Negative regulation of mitotic cell cycle
Negative regulation of membrane protein ectodomain proteolysis
Liver regeneration
Regulation of membrane depolarization during action potential","Cytoskeleton
Cytoplasm
Plasma membrane
Cytosol
Cytoplasmic side of plasma membrane",ENSG00000070159,protein tyrosine phosphatase non-receptor type 3,protein_coding
PTPN9,"Protein tyrosine phosphatase activity
Protein binding
Phosphoprotein phosphatase activity
Non-membrane spanning protein tyrosine phosphatase activity","Protein dephosphorylation
Dephosphorylation
Negative regulation of neuron projection development
Peptidyl-tyrosine dephosphorylation
Positive regulation of protein localization to plasma membrane","Cytoplasm
Nucleoplasm
Neuron projection terminus",ENSG00000169410,protein tyrosine phosphatase non-receptor type 9,protein_coding
PTPRD,"Protein binding
Protein tyrosine phosphatase activity
Phosphoprotein phosphatase activity
Signaling receptor binding
Cell adhesion molecule binding
Transmembrane receptor protein tyrosine phosphatase activity","Protein dephosphorylation
Dephosphorylation
Cell adhesion
Synapse organization
Phosphate-containing compound metabolic process
Positive regulation of synapse assembly
Synaptic membrane adhesion
Cell surface receptor protein tyrosine phosphatase signaling pathway
Heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
Neuron differentiation
Negative regulation of receptor signaling pathway via jak-stat
Positive regulation of dendrite morphogenesis
Regulation of immune response
Modulation of chemical synaptic transmission
Positive regulation of dendritic spine morphogenesis
Presynaptic membrane assembly
Presynapse assembly
Regulation of postsynaptic density assembly
Trans-synaptic signaling
Trans-synaptic signaling by trans-synaptic complex","Plasma membrane
Membrane
Extracellular exosome
Glutamatergic synapse
Presynaptic membrane
Schaffer collateral - ca1 synapse
Hippocampal mossy fiber to ca3 synapse",ENSG00000153707,protein tyrosine phosphatase receptor type D,protein_coding
PTPRM,"Protein binding
Protein tyrosine phosphatase activity
Phosphoprotein phosphatase activity
Identical protein binding
Phosphatase activity
Cadherin binding
Transmembrane receptor protein tyrosine phosphatase activity","Protein dephosphorylation
Dephosphorylation
Signal transduction
Cell adhesion
Retina layer formation
Negative regulation of angiogenesis
Negative regulation of endothelial cell proliferation
Negative regulation of endothelial cell migration
Homophilic cell adhesion via plasma membrane adhesion molecules
Neuron projection development
Retinal ganglion cell axon guidance
Response to xenobiotic stimulus","Membrane
Cytoplasm
Plasma membrane
Perinuclear region of cytoplasm
Adherens junction
Cell-cell junction
Lamellipodium",ENSG00000173482,protein tyrosine phosphatase receptor type M,protein_coding
PTPRN2,"Protein tyrosine phosphatase activity
Phosphoprotein phosphatase activity
Transmembrane receptor protein tyrosine phosphatase activity","Protein dephosphorylation
Dephosphorylation
Lipid metabolic process
Neurotransmitter secretion
Insulin secretion involved in cellular response to glucose stimulus
Regulation of secretion","Secretory granule
Membrane
Synapse
Synaptic vesicle membrane
Plasma membrane
Cytoplasmic vesicle
Receptor complex
Ficolin-1-rich granule membrane
Secretory granule membrane
Transport vesicle membrane",ENSG00000282185,protein tyrosine phosphatase receptor type N2,protein_coding
PTPRQ,"Protein binding
Protein tyrosine phosphatase activity
Phosphoprotein phosphatase activity","Protein dephosphorylation
Dephosphorylation
Hematopoietic progenitor cell differentiation
Inner ear morphogenesis
Neuromuscular process controlling balance
Detection of mechanical stimulus involved in sensory perception of sound
Vestibular receptor cell morphogenesis","Membrane
Apical plasma membrane
Stereocilium bundle
Stereocilium base",ENSG00000139304,protein tyrosine phosphatase receptor type Q,protein_coding
PTPRR,"Protein tyrosine phosphatase activity
Protein binding
Phosphoprotein phosphatase activity
Protein kinase binding
Transmembrane receptor protein tyrosine phosphatase activity","Protein dephosphorylation
Dephosphorylation
Signal transduction
In utero embryonic development
Negative regulation of erk1 and erk2 cascade
Erbb2 signaling pathway
Negative regulation of epithelial cell migration","Cytoplasm
Extracellular region
Plasma membrane
Cytosol
Perinuclear region of cytoplasm
Cell junction
Extracellular space",ENSG00000153233,protein tyrosine phosphatase receptor type R,protein_coding
PTPRS,"Protein binding
Protein tyrosine phosphatase activity
Phosphoprotein phosphatase activity
Heparin binding
Chondroitin sulfate binding
Heparan sulfate proteoglycan binding","Protein dephosphorylation
Dephosphorylation
Cell adhesion
Negative regulation of axon regeneration
Synapse organization
Negative regulation of neuron projection development
Spinal cord development
Cerebellum development
Hippocampus development
Cerebral cortex development
Corpus callosum development
Negative regulation of axon extension
Negative regulation of collateral sprouting
Modulation of chemical synaptic transmission
Negative regulation of dendritic spine development
Establishment of endothelial intestinal barrier
Regulation of postsynaptic density assembly
Trans-synaptic signaling
Synaptic membrane adhesion
Negative regulation of interferon-beta production
Peptidyl-tyrosine dephosphorylation
Negative regulation of interferon-alpha production
Negative regulation of toll-like receptor 9 signaling pathway","Plasma membrane
Membrane
Cytosol
Axon
Synapse
Synaptic vesicle membrane
Cytoplasmic vesicle
Growth cone
Neuron projection
Perikaryon
Postsynaptic density
Postsynaptic density membrane
Extracellular exosome
Presynaptic membrane
Schaffer collateral - ca1 synapse
Glutamatergic synapse",ENSG00000105426,protein tyrosine phosphatase receptor type S,protein_coding
PURG,"Rna polymerase ii transcription regulatory region sequence-specific dna binding
Purine-rich negative regulatory element binding
Rna binding
Dna binding
Dna-binding transcription factor activity, rna polymerase ii-specific",Regulation of transcription by rna polymerase ii,"Nucleus
Synapse",ENSG00000172733,purine rich element binding protein G,protein_coding
PURPL,,,,ENSG00000250337,p53 upregulated regulator of p53 levels,lncRNA
PXK,"Atp binding
Protein kinase activity
Phosphatidylinositol binding
Actin binding
Protein binding","Protein phosphorylation
Inflammatory response
Early endosome to late endosome transport
Endosome to lysosome transport
Modulation of chemical synaptic transmission
Negative regulation of atp-dependent activity
Protein targeting to lysosome
Negative regulation of monoatomic ion transport","Cytosol
Plasma membrane
Centriolar satellite
Cytoplasm
Early endosome
Late endosome
Protein-containing complex",ENSG00000168297,PX domain containing serine/threonine kinase like,protein_coding
PXMP4,Protein binding,"Biological_process
Ether lipid metabolic process","Membrane
Peroxisome
Peroxisomal membrane
Cytosol",ENSG00000101417,peroxisomal membrane protein 4,protein_coding
PXYLP1,"Hydrolase activity
Protein binding
Phosphatase activity","Glycosaminoglycan biosynthetic process
Chondroitin sulfate proteoglycan biosynthetic process
Positive regulation of heparan sulfate proteoglycan biosynthetic process","Membrane
Golgi apparatus
Golgi membrane",ENSG00000155893,2-phosphoxylose phosphatase 1,protein_coding
QKI,"Rna binding
Sh3 domain binding
Protein binding
Dna binding
Mrna binding
Internal n(7)-methylguanine-containing rna reader activity
Nucleic acid binding
Mirna binding
Mrna 3'-utr binding
Transcription coactivator activity","Mrna processing
Rna splicing
Mrna transport
Cell differentiation
Regulation of translation
Negative regulation of translation
Regulation of epithelial to mesenchymal transition
Regulation of mrna splicing, via spliceosome
Regulation of astrocyte differentiation
Spliceosome-depend formation of circular rna
Negative regulation of 3'-utr-mediated mrna stabilization
Intracellular mrna localization
Microglia differentiation
Vascular associated smooth muscle cell differentiation
Regulation of macrophage differentiation
Negative regulation of cold-induced thermogenesis
Negative regulation of angiogenesis
Mrna stabilization
Negative regulation of mirna catabolic process
Positive regulation of dna-templated transcription
Negative regulation of type i interferon production
Positive regulation of myelination
Negative regulation of macrophage differentiation
Positive regulation of cholesterol biosynthetic process
Vasculogenesis
Spermatid development
Axon ensheathment
Positive regulation of gene expression
Myelination
Long-chain fatty acid biosynthetic process
Positive regulation of oligodendrocyte differentiation
Myofibroblast contraction","Nucleus
Cytoplasm
Cytosol
Cytoplasmic stress granule
Synapse",ENSG00000112531,"QKI, KH domain containing RNA binding",protein_coding
QSER1,,,,ENSG00000060749,glutamine and serine rich 1,protein_coding
QSOX2,"Thiol oxidase activity
Flavin-dependent sulfhydryl oxidase activity
Oxidoreductase activity
Protein disulfide isomerase activity",Protein folding,"Nucleus
Extracellular region
Plasma membrane
Nucleoplasm
Golgi apparatus
Nuclear membrane
Extracellular space
Golgi membrane",ENSG00000165661,quiescin sulfhydryl oxidase 2,protein_coding
R3HDM2P2,,,,ENSG00000216817,R3H domain containing 2 pseudogene 2,transcribed_processed_pseudogene
R3HDML,Peptidase inhibitor activity,,"Extracellular region
Extracellular space",ENSG00000101074,R3H domain containing like,protein_coding
R3HDML-AS1,,,,ENSG00000226812,R3HDML antisense RNA 1,lncRNA
RAB11B,"Gtpase activity
Gtp binding
Nucleotide binding
Hydrolase activity
Protein binding
G protein activity
Cadherin binding
Gdp binding
Myosin v binding","Protein transport
Establishment of protein localization to membrane
Receptor recycling
Transferrin transport
Endocytic recycling
Regulated exocytosis
Regulation of endocytic recycling
Regulation of monoatomic anion transport
Cellular response to acidic ph
Amyloid-beta clearance by transcytosis
Melanosome transport
Insulin secretion involved in cellular response to glucose stimulus
Regulation of protein localization to cell surface
Constitutive secretory pathway","Membrane
Endosome
Synapse
Synaptic vesicle
Synaptic vesicle membrane
Recycling endosome membrane
Recycling endosome
Phagocytic vesicle membrane
Phagocytic vesicle
Cytosol
Extracellular exosome
Golgi apparatus
Cytoplasm",ENSG00000185236,"RAB11B, member RAS oncogene family",protein_coding
RAB11FIP2,"Small gtpase binding
Protein binding
Identical protein binding
Protein kinase binding
Protein homodimerization activity","Protein transport
Phagocytosis
Positive regulation of gtpase activity
Establishment of cell polarity
Regulated exocytosis
Insulin secretion involved in cellular response to glucose stimulus
Tram-dependent toll-like receptor 4 signaling pathway
Positive regulation of protein localization to plasma membrane","Plasma membrane
Cell projection
Nucleoplasm
Endosome
Intracellular membrane-bounded organelle
Recycling endosome membrane
Phagocytic cup
Cytoplasmic vesicle membrane",ENSG00000107560,RAB11 family interacting protein 2,protein_coding
RAB11FIP3,"Calcium ion binding
Metal ion binding
Protein binding
Identical protein binding
Small gtpase binding
Protein homodimerization activity
Protein-macromolecule adaptor activity
Molecular adaptor activity
Dynein light intermediate chain binding
Protein-containing complex binding
Gtpase binding","Cell division
Vesicle-mediated transport
Protein localization to cilium
Regulation of cilium assembly
Endocytic recycling
Regulation of cytokinesis
Positive regulation of cilium assembly
Regulation of endocytic recycling
Golgi to plasma membrane protein transport
Regulation of vesicle-mediated transport
Early endosome to recycling endosome transport
Negative regulation of adiponectin secretion
Regulation of early endosome to recycling endosome transport
Positive regulation of mitotic cytokinetic process
Regulation of protein localization to centrosome
Protein localization to cleavage furrow","Cytoplasm
Membrane
Nucleoplasm
Mitochondrion
Cytoskeleton
Endosome
Golgi apparatus
Intracellular membrane-bounded organelle
Cleavage furrow
Golgi membrane
Intercellular bridge
Centrosome
Centriolar satellite
Midbody
Recycling endosome membrane
Recycling endosome
Cytosol
Trans-golgi network membrane
Endocytic vesicle
Endocytic vesicle membrane
Postsynaptic recycling endosome membrane",ENSG00000275338,RAB11 family interacting protein 3,protein_coding
RAB1A,"Nucleotide binding
Hydrolase activity
Gtpase activity
Gtp binding
Protein binding
G protein activity
Cadherin binding","Endocytosis
Autophagosome assembly
Autophagy
Vesicle-mediated transport
Protein transport
Defense response to bacterium
Endoplasmic reticulum to golgi vesicle-mediated transport
Intracellular protein transport
Cell migration
Golgi organization
Positive regulation of interleukin-8 production
Vesicle transport along microtubule
Copii-coated vesicle cargo loading
Virion assembly
Growth hormone secretion
Positive regulation of glycoprotein metabolic process
Melanosome transport
Substrate adhesion-dependent cell spreading","Cytoplasm
Membrane
Endoplasmic reticulum
Endosome
Golgi apparatus
Melanosome
Cytosol
Early endosome
Extracellular exosome
Endomembrane system
Golgi membrane
Transport vesicle membrane",ENSG00000138069,"RAB1A, member RAS oncogene family",protein_coding
RAB29,"Gtpase activity
Gtp binding
Protein binding
Small gtpase binding
Gdp binding
Kinesin binding
Dynein complex binding","Vesicle-mediated transport
Cell differentiation
Protein transport
Intracellular protein transport
Retrograde transport, endosome to golgi
Golgi organization
Mitochondrion organization
Protein localization to membrane
Positive regulation of receptor recycling
Synapse assembly
Response to bacterium
Negative regulation of neuron projection development
Melanosome organization
T cell activation
Modulation by host of viral process
Positive regulation of t cell receptor signaling pathway
Positive regulation of intracellular protein transport
Protein localization to ciliary membrane
Regulation of retrograde transport, endosome to golgi
Cellular detoxification","Golgi apparatus
Trans-golgi network
Vesicle
Cytoplasm
Plasma membrane
Membrane
Intracellular membrane-bounded organelle
Cytosol
Cytoskeleton
Perinuclear region of cytoplasm
Vacuole
Extracellular exosome
Endomembrane system
Melanosome
Mitochondrion
Early endosome
Cis-golgi network
Recycling endosome
Intracellular vesicle",ENSG00000117280,"RAB29, member RAS oncogene family",protein_coding
RAB30-DT,,,,ENSG00000246067,RAB30 divergent transcript,lncRNA
RAB3C,"Gtpase activity
Gtp binding
Protein binding
Myosin v binding
Gtp-dependent protein binding","Protein transport
Protein secretion
Exocytosis
Antigen processing and presentation
Regulation of exocytosis","Plasma membrane
Perinuclear region of cytoplasm
Vesicle
Synaptic vesicle
Endosome
Synaptic vesicle membrane",ENSG00000152932,"RAB3C, member RAS oncogene family",protein_coding
RAB40B,"Gtpase activity
Gtp binding
Protein binding
Nucleotide binding","Intracellular signal transduction
Protein ubiquitination
Protein secretion
Exocytosis
Cellular detoxification","Plasma membrane
Perinuclear region of cytoplasm
Synaptic vesicle
Endosome
Nuclear envelope
Membrane",ENSG00000141542,"RAB40B, member RAS oncogene family",protein_coding
RAB7B,"Gtpase activity
Gtp binding
Protein binding
Nucleotide binding","Protein transport
Positive regulation of interleukin-6 production
Negative regulation of toll-like receptor 4 signaling pathway
Positive regulation of nf-kappab transcription factor activity
Late endosome to golgi transport
Endosome to lysosome transport
Positive regulation of megakaryocyte differentiation
Negative regulation of toll-like receptor 9 signaling pathway
Phagosome-lysosome fusion
Cellular response to type ii interferon","Membrane
Endosome
Golgi apparatus
Late endosome
Lysosome
Phagocytic vesicle membrane
Trans-golgi network
Phagocytic vesicle
Late endosome membrane",ENSG00000276600,"RAB7B, member RAS oncogene family",protein_coding
RABEP2,"Growth factor activity
Gtpase activator activity
Protein binding","Endocytosis
Protein transport
Signal transduction
Cell projection organization
Regulation of cilium assembly","Cytoplasm
Cell projection
Cytosol
Cytoskeleton
Endosome
Intracellular membrane-bounded organelle
Centrosome
Early endosome
Ciliary basal body",ENSG00000177548,"rabaptin, RAB GTPase binding effector protein 2",protein_coding
RABGAP1,"Protein binding
Gtpase activator activity
Small gtpase binding
Tubulin binding",Regulation of gtpase activity,"Cytoplasm
Cytosol
Cytoskeleton
Centrosome
Microtubule associated complex",ENSG00000011454,RAB GTPase activating protein 1,protein_coding
RAD23B,"Protein binding
Damaged dna binding
Polyubiquitin modification-dependent protein binding
Ubiquitin binding
Proteasome binding
Single-stranded dna binding
Transcription cis-regulatory region binding
Rna polymerase ii cis-regulatory region sequence-specific dna binding
Rna polymerase ii-specific dna-binding transcription factor binding
Dna damage sensor activity","Nucleotide-excision repair
Proteasome-mediated ubiquitin-dependent protein catabolic process
Dna repair
Regulation of proteasomal protein catabolic process
Regulation of proteasomal ubiquitin-dependent protein catabolic process
Dna damage response
Spermatogenesis
Embryonic organ development
Cellular response to interleukin-7","Nucleus
Cytoplasm
Nucleoplasm
Cytosol
Proteasome complex
Xpc complex",ENSG00000119318,"RAD23 homolog B, nucleotide excision repair protein",protein_coding
RAD51B,"Atp binding
Dna binding
Atp-dependent dna damage sensor activity
Atp hydrolysis activity
Protein binding
Single-stranded dna binding
Double-stranded dna binding
Four-way junction dna binding
Atp-dependent activity, acting on dna","Double-strand break repair via homologous recombination
Dna metabolic process
Dna repair
Dna recombination
Positive regulation of g2/m transition of mitotic cell cycle
In utero embryonic development
Blastocyst growth
Reciprocal meiotic recombination
Positive regulation of cell population proliferation
Somite development","Nucleus
Rad51b-rad51c-rad51d-xrcc2 complex
Nucleoplasm
Replication fork",ENSG00000182185,RAD51 paralog B,protein_coding
RAD54L2P1,,,,ENSG00000269316,RAD54L2 pseudogene 1,processed_pseudogene
RAI1,"Metal ion binding
Protein binding","Positive regulation of dna-templated transcription
Rhythmic process
Regulation of transcription by rna polymerase ii
Circadian regulation of gene expression
Skeletal system development
Negative regulation of multicellular organism growth","Nucleus
Cytoplasm
Nucleoplasm",ENSG00000108557,retinoic acid induced 1,protein_coding
RALY,"Rna binding
Nucleic acid binding
Protein binding
Transcription coregulator activity","Mrna processing
Rna splicing
Mrna splicing, via spliceosome
Negative regulation of transcription by rna polymerase ii
Cholesterol homeostasis","Nucleus
Spliceosomal complex
Catalytic step 2 spliceosome",ENSG00000125970,RALY heterogeneous nuclear ribonucleoprotein,protein_coding
RALYL,"Rna binding
Nucleic acid binding
Protein binding
Identical protein binding",,"Nucleoplasm
Nucleus",ENSG00000184672,RALY RNA binding protein like,protein_coding
RAMP1,"Coreceptor activity
Protein binding
Calcitonin gene-related peptide receptor activity
Amylin receptor activity
Calcitonin gene-related peptide binding","Intracellular protein transport
Regulation of g protein-coupled receptor signaling pathway
Protein transport
Angiogenesis
Calcium ion transport
G protein-coupled receptor signaling pathway
Receptor internalization
Adenylate cyclase-activating g protein-coupled receptor signaling pathway
Protein localization to plasma membrane
Cellular response to hormone stimulus
Positive regulation of protein glycosylation
Amylin receptor signaling pathway
Calcitonin gene-related peptide receptor signaling pathway","Membrane
Plasma membrane
Cell surface
Receptor complex
Cgrp receptor complex",ENSG00000132329,receptor activity modifying protein 1,protein_coding
RAMP2,"Coreceptor activity
Protein binding
Adrenomedullin receptor activity
Adrenomedullin binding","Intracellular protein transport
Regulation of g protein-coupled receptor signaling pathway
Protein transport
Positive regulation of gene expression
Heart development
Angiogenesis
Calcium ion transport
Regulation of blood pressure
G protein-coupled receptor signaling pathway
Receptor internalization
Sprouting angiogenesis
Adenylate cyclase-activating g protein-coupled receptor signaling pathway
Negative regulation of vascular permeability
Negative regulation of endothelial cell apoptotic process
Positive regulation of angiogenesis
Cellular response to vascular endothelial growth factor stimulus
Protein localization to plasma membrane
Bicellular tight junction assembly
Cellular response to hormone stimulus
Adherens junction assembly
Vasculogenesis
Basement membrane assembly
Vascular associated smooth muscle cell development
Adrenomedullin receptor signaling pathway
Positive regulation of vasculogenesis","Membrane
Cytoplasm
Plasma membrane
Cell surface
Receptor complex
Lysosome
Clathrin-coated pit
Adrenomedullin receptor complex",ENSG00000131477,receptor activity modifying protein 2,protein_coding
RAMP2-AS1,,,,ENSG00000197291,RAMP2 antisense RNA 1,lncRNA
RANBP17,"Small gtpase binding
Nuclear export signal receptor activity
Gtp binding","Intracellular protein transport
Nuclear transport
Mrna transport
Protein transport
Protein import into nucleus
Nuclear export
Protein export from nucleus","Nucleus
Cytoplasm
Nuclear pore",ENSG00000204764,RAN binding protein 17,protein_coding
RANBP3L,"Protein binding
Gtpase activator activity
Smad binding","Intracellular transport
Protein export from nucleus
Negative regulation of osteoblast differentiation
Positive regulation of myoblast differentiation
Mesenchymal cell differentiation involved in bone development","Nucleus
Cytoplasm
Nuclear pore",ENSG00000164188,RAN binding protein 3 like,protein_coding
RAPSN,"Protein binding
Acetylcholine receptor binding
Protein-membrane adaptor activity
Metal ion binding
Protein-macromolecule adaptor activity
Ionotropic glutamate receptor binding
Structural constituent of postsynaptic specialization","Chemical synaptic transmission
Neuromuscular junction development
Skeletal muscle acetylcholine-gated channel clustering
Motor neuron apoptotic process
Maintenance of postsynaptic specialization structure
Neurotransmitter receptor localization to postsynaptic specialization membrane
Positive regulation of neuromuscular synaptic transmission
Regulation of postsynaptic membrane organization
Establishment of protein localization to postsynaptic membrane
Positive regulation of motor neuron apoptotic process
Synaptic transmission, cholinergic","Synapse
Cytoplasm
Plasma membrane
Cytosol
Cytoskeleton
Centrosome
Postsynaptic membrane
Golgi apparatus
Membrane
Neuromuscular junction
Postsynaptic specialization membrane",ENSG00000165917,receptor associated protein of the synapse,protein_coding
